Instant,Riders,Season,Month,Hour,Holiday,Weekday,Workday,Weather,Temperature,Humidity,Wind,Year,Day,Date,Month_Name,Season_Name,Day_of_Week,Weather_Name_Type
1,16,1,1,0,0,6,0,1,37,0.81,0.0,2011,1,2011-01-01,Jan,Winter,Sat,Sunny
2,40,1,1,1,0,6,0,1,36,0.8,0.0,2011,1,2011-01-01,Jan,Winter,Sat,Sunny
3,32,1,1,2,0,6,0,1,36,0.8,0.0,2011,1,2011-01-01,Jan,Winter,Sat,Sunny
4,13,1,1,3,0,6,0,1,37,0.75,0.0,2011,1,2011-01-01,Jan,Winter,Sat,Sunny
5,1,1,1,4,0,6,0,1,37,0.75,0.0,2011,1,2011-01-01,Jan,Winter,Sat,Sunny
6,1,1,1,5,0,6,0,2,34,0.75,0.0896,2011,1,2011-01-01,Jan,Winter,Sat,Cloudy
7,2,1,1,6,0,6,0,1,36,0.8,0.0,2011,1,2011-01-01,Jan,Winter,Sat,Sunny
8,3,1,1,7,0,6,0,1,34,0.86,0.0,2011,1,2011-01-01,Jan,Winter,Sat,Sunny
9,8,1,1,8,0,6,0,1,37,0.75,0.0,2011,1,2011-01-01,Jan,Winter,Sat,Sunny
10,14,1,1,9,0,6,0,1,45,0.76,0.0,2011,1,2011-01-01,Jan,Winter,Sat,Sunny
11,36,1,1,10,0,6,0,1,50,0.76,0.2537,2011,1,2011-01-01,Jan,Winter,Sat,Sunny
12,56,1,1,11,0,6,0,1,43,0.81,0.2836,2011,1,2011-01-01,Jan,Winter,Sat,Sunny
13,84,1,1,12,0,6,0,1,54,0.77,0.2836,2011,1,2011-01-01,Jan,Winter,Sat,Sunny
14,94,1,1,13,0,6,0,2,57,0.72,0.2985,2011,1,2011-01-01,Jan,Winter,Sat,Cloudy
15,106,1,1,14,0,6,0,2,57,0.72,0.2836,2011,1,2011-01-01,Jan,Winter,Sat,Cloudy
16,110,1,1,15,0,6,0,2,55,0.77,0.2985,2011,1,2011-01-01,Jan,Winter,Sat,Cloudy
17,93,1,1,16,0,6,0,2,54,0.82,0.2985,2011,1,2011-01-01,Jan,Winter,Sat,Cloudy
18,67,1,1,17,0,6,0,2,55,0.82,0.2836,2011,1,2011-01-01,Jan,Winter,Sat,Cloudy
19,35,1,1,18,0,6,0,3,54,0.88,0.2537,2011,1,2011-01-01,Jan,Winter,Sat,Rainy
20,37,1,1,19,0,6,0,3,54,0.88,0.2537,2011,1,2011-01-01,Jan,Winter,Sat,Rainy
21,36,1,1,20,0,6,0,2,52,0.87,0.2537,2011,1,2011-01-01,Jan,Winter,Sat,Cloudy
22,34,1,1,21,0,6,0,2,52,0.87,0.194,2011,1,2011-01-01,Jan,Winter,Sat,Cloudy
23,28,1,1,22,0,6,0,2,52,0.94,0.2239,2011,1,2011-01-01,Jan,Winter,Sat,Cloudy
24,39,1,1,23,0,6,0,2,57,0.88,0.2985,2011,1,2011-01-01,Jan,Winter,Sat,Cloudy
25,17,1,1,0,0,0,0,2,57,0.88,0.2985,2011,2,2011-01-02,Jan,Winter,Sun,Cloudy
26,17,1,1,1,0,0,0,2,55,0.94,0.2537,2011,2,2011-01-02,Jan,Winter,Sun,Cloudy
27,9,1,1,2,0,0,0,2,54,1.0,0.2836,2011,2,2011-01-02,Jan,Winter,Sun,Cloudy
28,6,1,1,3,0,0,0,2,57,0.94,0.194,2011,2,2011-01-02,Jan,Winter,Sun,Cloudy
29,3,1,1,4,0,0,0,2,57,0.94,0.194,2011,2,2011-01-02,Jan,Winter,Sun,Cloudy
30,2,1,1,6,0,0,0,3,54,0.77,0.2985,2011,2,2011-01-02,Jan,Winter,Sun,Rainy
31,1,1,1,7,0,0,0,2,52,0.76,0.194,2011,2,2011-01-02,Jan,Winter,Sun,Cloudy
32,8,1,1,8,0,0,0,3,52,0.71,0.2239,2011,2,2011-01-02,Jan,Winter,Sun,Rainy
33,20,1,1,9,0,0,0,2,50,0.76,0.2239,2011,2,2011-01-02,Jan,Winter,Sun,Cloudy
34,53,1,1,10,0,0,0,2,45,0.81,0.2239,2011,2,2011-01-02,Jan,Winter,Sun,Cloudy
35,70,1,1,11,0,0,0,2,43,0.71,0.2537,2011,2,2011-01-02,Jan,Winter,Sun,Cloudy
36,93,1,1,12,0,0,0,2,43,0.66,0.2985,2011,2,2011-01-02,Jan,Winter,Sun,Cloudy
37,75,1,1,13,0,0,0,2,45,0.66,0.1343,2011,2,2011-01-02,Jan,Winter,Sun,Cloudy
38,59,1,1,14,0,0,0,3,45,0.76,0.194,2011,2,2011-01-02,Jan,Winter,Sun,Rainy
39,74,1,1,15,0,0,0,3,43,0.81,0.1642,2011,2,2011-01-02,Jan,Winter,Sun,Rainy
40,76,1,1,16,0,0,0,3,43,0.71,0.1642,2011,2,2011-01-02,Jan,Winter,Sun,Rainy
41,65,1,1,17,0,0,0,1,43,0.57,0.194,2011,2,2011-01-02,Jan,Winter,Sun,Sunny
42,53,1,1,18,0,0,0,2,43,0.46,0.3284,2011,2,2011-01-02,Jan,Winter,Sun,Cloudy
43,30,1,1,19,0,0,0,1,37,0.42,0.4478,2011,2,2011-01-02,Jan,Winter,Sun,Sunny
44,22,1,1,20,0,0,0,1,36,0.39,0.3582,2011,2,2011-01-02,Jan,Winter,Sun,Sunny
45,31,1,1,21,0,0,0,1,30,0.44,0.3284,2011,2,2011-01-02,Jan,Winter,Sun,Sunny
46,9,1,1,22,0,0,0,1,28,0.44,0.2985,2011,2,2011-01-02,Jan,Winter,Sun,Sunny
47,8,1,1,23,0,0,0,1,30,0.47,0.1642,2011,2,2011-01-02,Jan,Winter,Sun,Sunny
48,5,1,1,0,0,1,1,1,27,0.44,0.3582,2011,3,2011-01-03,Jan,Winter,Mon,Sunny
49,2,1,1,1,0,1,1,1,23,0.44,0.4179,2011,3,2011-01-03,Jan,Winter,Mon,Sunny
50,1,1,1,4,0,1,1,1,19,0.47,0.3881,2011,3,2011-01-03,Jan,Winter,Mon,Sunny
51,3,1,1,5,0,1,1,1,19,0.47,0.2836,2011,3,2011-01-03,Jan,Winter,Mon,Sunny
52,30,1,1,6,0,1,1,1,16,0.5,0.3881,2011,3,2011-01-03,Jan,Winter,Mon,Sunny
53,64,1,1,7,0,1,1,1,19,0.5,0.194,2011,3,2011-01-03,Jan,Winter,Mon,Sunny
54,154,1,1,8,0,1,1,1,18,0.5,0.2836,2011,3,2011-01-03,Jan,Winter,Mon,Sunny
55,88,1,1,9,0,1,1,1,19,0.43,0.3881,2011,3,2011-01-03,Jan,Winter,Mon,Sunny
56,44,1,1,10,0,1,1,1,23,0.43,0.2537,2011,3,2011-01-03,Jan,Winter,Mon,Sunny
57,51,1,1,11,0,1,1,1,25,0.4,0.3284,2011,3,2011-01-03,Jan,Winter,Mon,Sunny
58,61,1,1,12,0,1,1,1,28,0.35,0.2985,2011,3,2011-01-03,Jan,Winter,Mon,Sunny
59,61,1,1,13,0,1,1,1,28,0.35,0.2836,2011,3,2011-01-03,Jan,Winter,Mon,Sunny
60,77,1,1,14,0,1,1,1,32,0.3,0.2836,2011,3,2011-01-03,Jan,Winter,Mon,Sunny
61,72,1,1,15,0,1,1,1,32,0.3,0.2537,2011,3,2011-01-03,Jan,Winter,Mon,Sunny
62,76,1,1,16,0,1,1,1,32,0.3,0.2537,2011,3,2011-01-03,Jan,Winter,Mon,Sunny
63,157,1,1,17,0,1,1,1,30,0.3,0.2239,2011,3,2011-01-03,Jan,Winter,Mon,Sunny
64,157,1,1,18,0,1,1,1,34,0.32,0.1045,2011,3,2011-01-03,Jan,Winter,Mon,Sunny
65,110,1,1,19,0,1,1,1,34,0.47,0.0,2011,3,2011-01-03,Jan,Winter,Mon,Sunny
66,52,1,1,20,0,1,1,1,30,0.47,0.1045,2011,3,2011-01-03,Jan,Winter,Mon,Sunny
67,52,1,1,21,0,1,1,1,27,0.64,0.1343,2011,3,2011-01-03,Jan,Winter,Mon,Sunny
68,20,1,1,22,0,1,1,1,21,0.69,0.1343,2011,3,2011-01-03,Jan,Winter,Mon,Sunny
69,12,1,1,23,0,1,1,1,28,0.55,0.1045,2011,3,2011-01-03,Jan,Winter,Mon,Sunny
70,5,1,1,0,0,2,1,1,25,0.55,0.1045,2011,4,2011-01-04,Jan,Winter,Tue,Sunny
71,2,1,1,1,0,2,1,1,25,0.59,0.1045,2011,4,2011-01-04,Jan,Winter,Tue,Sunny
72,1,1,1,2,0,2,1,1,21,0.63,0.1343,2011,4,2011-01-04,Jan,Winter,Tue,Sunny
73,2,1,1,4,0,2,1,1,25,0.63,0.0896,2011,4,2011-01-04,Jan,Winter,Tue,Sunny
74,4,1,1,5,0,2,1,1,21,0.68,0.1045,2011,4,2011-01-04,Jan,Winter,Tue,Sunny
75,36,1,1,6,0,2,1,1,21,0.74,0.1045,2011,4,2011-01-04,Jan,Winter,Tue,Sunny
76,94,1,1,7,0,2,1,1,21,0.74,0.1343,2011,4,2011-01-04,Jan,Winter,Tue,Sunny
77,179,1,1,8,0,2,1,1,21,0.69,0.1642,2011,4,2011-01-04,Jan,Winter,Tue,Sunny
78,100,1,1,9,0,2,1,1,21,0.64,0.2239,2011,4,2011-01-04,Jan,Winter,Tue,Sunny
79,42,1,1,10,0,2,1,2,19,0.69,0.3284,2011,4,2011-01-04,Jan,Winter,Tue,Cloudy
80,57,1,1,11,0,2,1,1,28,0.51,0.2985,2011,4,2011-01-04,Jan,Winter,Tue,Sunny
81,78,1,1,12,0,2,1,1,30,0.51,0.1642,2011,4,2011-01-04,Jan,Winter,Tue,Sunny
82,97,1,1,13,0,2,1,1,30,0.56,0.194,2011,4,2011-01-04,Jan,Winter,Tue,Sunny
83,63,1,1,14,0,2,1,1,34,0.52,0.2239,2011,4,2011-01-04,Jan,Winter,Tue,Sunny
84,65,1,1,15,0,2,1,1,36,0.52,0.2537,2011,4,2011-01-04,Jan,Winter,Tue,Sunny
85,83,1,1,16,0,2,1,1,37,0.49,0.2537,2011,4,2011-01-04,Jan,Winter,Tue,Sunny
86,212,1,1,17,0,2,1,1,36,0.48,0.2239,2011,4,2011-01-04,Jan,Winter,Tue,Sunny
87,182,1,1,18,0,2,1,1,34,0.48,0.194,2011,4,2011-01-04,Jan,Winter,Tue,Sunny
88,112,1,1,19,0,2,1,1,34,0.48,0.1045,2011,4,2011-01-04,Jan,Winter,Tue,Sunny
89,54,1,1,20,0,2,1,1,34,0.48,0.1045,2011,4,2011-01-04,Jan,Winter,Tue,Sunny
90,48,1,1,21,0,2,1,1,36,0.64,0.0,2011,4,2011-01-04,Jan,Winter,Tue,Sunny
91,35,1,1,22,0,2,1,1,34,0.64,0.0896,2011,4,2011-01-04,Jan,Winter,Tue,Sunny
92,11,1,1,23,0,2,1,1,30,0.69,0.0896,2011,4,2011-01-04,Jan,Winter,Tue,Sunny
93,6,1,1,0,0,3,1,1,34,0.64,0.0,2011,5,2011-01-05,Jan,Winter,Wed,Sunny
94,6,1,1,1,0,3,1,1,27,0.74,0.0896,2011,5,2011-01-05,Jan,Winter,Wed,Sunny
95,2,1,1,2,0,3,1,1,27,0.74,0.0896,2011,5,2011-01-05,Jan,Winter,Wed,Sunny
96,2,1,1,4,0,3,1,1,30,0.48,0.2239,2011,5,2011-01-05,Jan,Winter,Wed,Sunny
97,3,1,1,5,0,3,1,1,30,0.47,0.1642,2011,5,2011-01-05,Jan,Winter,Wed,Sunny
98,33,1,1,6,0,3,1,1,27,0.47,0.2239,2011,5,2011-01-05,Jan,Winter,Wed,Sunny
99,88,1,1,7,0,3,1,1,25,0.43,0.194,2011,5,2011-01-05,Jan,Winter,Wed,Sunny
100,195,1,1,8,0,3,1,1,25,0.4,0.2985,2011,5,2011-01-05,Jan,Winter,Wed,Sunny
101,115,1,1,9,0,3,1,1,27,0.37,0.3284,2011,5,2011-01-05,Jan,Winter,Wed,Sunny
102,57,1,1,10,0,3,1,1,27,0.37,0.3284,2011,5,2011-01-05,Jan,Winter,Wed,Sunny
103,46,1,1,11,0,3,1,1,30,0.33,0.3284,2011,5,2011-01-05,Jan,Winter,Wed,Sunny
104,79,1,1,12,0,3,1,1,30,0.33,0.3284,2011,5,2011-01-05,Jan,Winter,Wed,Sunny
105,71,1,1,13,0,3,1,1,34,0.3,0.2985,2011,5,2011-01-05,Jan,Winter,Wed,Sunny
106,62,1,1,14,0,3,1,1,37,0.28,0.194,2011,5,2011-01-05,Jan,Winter,Wed,Sunny
107,62,1,1,15,0,3,1,1,37,0.28,0.194,2011,5,2011-01-05,Jan,Winter,Wed,Sunny
108,89,1,1,16,0,3,1,1,41,0.28,0.0896,2011,5,2011-01-05,Jan,Winter,Wed,Sunny
109,190,1,1,17,0,3,1,1,30,0.38,0.194,2011,5,2011-01-05,Jan,Winter,Wed,Sunny
110,169,1,1,18,0,3,1,1,32,0.38,0.1343,2011,5,2011-01-05,Jan,Winter,Wed,Sunny
111,132,1,1,19,0,3,1,1,34,0.38,0.1045,2011,5,2011-01-05,Jan,Winter,Wed,Sunny
112,89,1,1,20,0,3,1,1,30,0.47,0.1642,2011,5,2011-01-05,Jan,Winter,Wed,Sunny
113,43,1,1,21,0,3,1,1,27,0.51,0.194,2011,5,2011-01-05,Jan,Winter,Wed,Sunny
114,42,1,1,22,0,3,1,1,27,0.55,0.1343,2011,5,2011-01-05,Jan,Winter,Wed,Sunny
115,19,1,1,23,0,3,1,1,34,0.47,0.0,2011,5,2011-01-05,Jan,Winter,Wed,Sunny
116,11,1,1,0,0,4,1,1,32,0.55,0.0,2011,6,2011-01-06,Jan,Winter,Thu,Sunny
117,4,1,1,1,0,4,1,1,30,0.64,0.0,2011,6,2011-01-06,Jan,Winter,Thu,Sunny
118,2,1,1,2,0,4,1,1,30,0.64,0.0,2011,6,2011-01-06,Jan,Winter,Thu,Sunny
119,1,1,1,4,0,4,1,2,27,0.64,0.0896,2011,6,2011-01-06,Jan,Winter,Thu,Cloudy
120,4,1,1,5,0,4,1,2,25,0.69,0.0896,2011,6,2011-01-06,Jan,Winter,Thu,Cloudy
121,36,1,1,6,0,4,1,2,23,0.63,0.1045,2011,6,2011-01-06,Jan,Winter,Thu,Cloudy
122,95,1,1,7,0,4,1,2,30,0.59,0.0,2011,6,2011-01-06,Jan,Winter,Thu,Cloudy
123,219,1,1,8,0,4,1,1,30,0.59,0.0,2011,6,2011-01-06,Jan,Winter,Thu,Sunny
124,122,1,1,9,0,4,1,2,32,0.51,0.0,2011,6,2011-01-06,Jan,Winter,Thu,Cloudy
125,45,1,1,10,0,4,1,1,34,0.47,0.0,2011,6,2011-01-06,Jan,Winter,Thu,Sunny
126,59,1,1,11,0,4,1,1,34,0.44,0.0896,2011,6,2011-01-06,Jan,Winter,Thu,Sunny
127,84,1,1,12,0,4,1,1,37,0.35,0.0,2011,6,2011-01-06,Jan,Winter,Thu,Sunny
128,67,1,1,13,0,4,1,1,36,0.35,0.1045,2011,6,2011-01-06,Jan,Winter,Thu,Sunny
129,70,1,1,14,0,4,1,1,36,0.36,0.1642,2011,6,2011-01-06,Jan,Winter,Thu,Sunny
130,62,1,1,15,0,4,1,1,36,0.36,0.0,2011,6,2011-01-06,Jan,Winter,Thu,Sunny
131,86,1,1,16,0,4,1,1,34,0.38,0.1642,2011,6,2011-01-06,Jan,Winter,Thu,Sunny
132,172,1,1,17,0,4,1,1,30,0.51,0.1642,2011,6,2011-01-06,Jan,Winter,Thu,Sunny
133,163,1,1,18,0,4,1,1,30,0.51,0.1343,2011,6,2011-01-06,Jan,Winter,Thu,Sunny
134,112,1,1,19,0,4,1,1,34,0.55,0.0896,2011,6,2011-01-06,Jan,Winter,Thu,Sunny
135,69,1,1,20,0,4,1,1,28,0.51,0.1642,2011,6,2011-01-06,Jan,Winter,Thu,Sunny
136,48,1,1,21,0,4,1,2,28,0.55,0.2239,2011,6,2011-01-06,Jan,Winter,Thu,Cloudy
137,52,1,1,22,0,4,1,2,28,0.51,0.2836,2011,6,2011-01-06,Jan,Winter,Thu,Cloudy
